;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
2785;Inter Milan;Gabriel Brazão;18.0;Goalkeeper;Parma;£5.40m;in;Summer;5.4;Serie A;2019;2019/2020;https://sofifa.com/player/244364/gabriel-resende-brazao/200002;gabriel-brazão
2786;FC Lorient;Stéphane Diarra;21.0;Right Winger;Le Mans FC;£2.25m;in;Summer;2.25;Ligue 1;2020;2020/2021;0;stéphane-diarra
2787;AFC Bournemouth;Marc Wilson;28.0;Centre-Back;Stoke City;£2.07m;in;Summer;2.07;Premier League;2016;2016/2017;https://sofifa.com/player/166919/marc-wilson/170002;marc-wilson
2788;VfL Wolfsburg;Jérôme Roussillon;25.0;Left-Back;Montpellier;£4.50m;in;Summer;4.5;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/202562/jerome-roussillon/190002;jérôme-roussillon
2789;AFC Bournemouth;James Hill;19.0;Centre-Back;Fleetwood;£1.08m;in;Winter;1.08;Championship;2021;2021/2022;https://sofifa.com/player/248492/james-hill/220002;james-hill
2790;RB Leipzig;Naby Keïta;21.0;Central Midfield;RB Salzburg;£26.78m;in;Summer;26.78;1 Bundesliga;2016;2016/2017;0;naby-keïta
2791;Hamburger SV;Sven Schipplock;26.0;Centre-Forward;TSG Hoffenheim;£2.25m;in;Summer;2.25;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/200922/sven-schipplock/160002;sven-schipplock
2792;SD Eibar;Sergio Álvarez;26.0;Central Midfield;Sporting Gijón;£3.60m;in;Summer;3.6;Primera Division;2018;2018/2019;https://sofifa.com/player/199158/sergio-alvarez-diaz/190002;sergio-álvarez
2793;VfL Wolfsburg;Paul Verhaegh;33.0;Right-Back;FC Augsburg;£1.35m;in;Summer;1.35;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/148839/paul-verhaegh/180002;paul-verhaegh
2794;FC Lorient;Quentin Boisgard;23.0;Attacking Midfield;Toulouse;£1.80m;in;Summer;1.8;Ligue 1;2020;2020/2021;https://sofifa.com/player/231848/quentin-boisgard/210002;quentin-boisgard
2795;Cagliari Calcio;Razvan Marin;25.0;Central Midfield;Ajax;£9.00m;in;Summer;9.0;Serie A;2021;2021/2022;https://sofifa.com/player/235813/razvan-marin/220002;razvan-marin
2796;Charlton Athletic;Naby Sarr;21.0;Centre-Back;Sporting CP;£1.80m;in;Summer;1.8;Championship;2015;2015/2016;https://sofifa.com/player/212420/mouhamadou-naby-sarr/160002;naby-sarr
2797;SD Eibar;Pablo de Blasis;30.0;Left Winger;1.FSV Mainz 05;£1.80m;in;Summer;1.8;Primera Division;2018;2018/2019;https://sofifa.com/player/210950/pablo-de-blasis/190002;pablo-de-blasis
