;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
339;VfL Wolfsburg;Dante;31.0;Centre-Back;FC Bayern;£4.05m;in;Summer;4.05;1 Bundesliga;2015;2015/2016;0;
340;Olympique Lyon;Jean-Philippe Mateta;19.0;Centre-Forward;LB Châteauroux;£3.69m;in;Summer;3.69;Ligue 1;2016;2016/2017;https://sofifa.com/player/236461/jean-philippe-mateta/170002;jean-philippe-mateta
341;Stade Rennais FC;Nayef Aguerd;24.0;Centre-Back;Dijon;£3.60m;in;Summer;3.6;Ligue 1;2020;2020/2021;https://sofifa.com/player/244749/nayef-aguerd/210002;nayef-aguerd
342;Manchester United;Diogo Dalot;19.0;Right-Back;FC Porto;£19.80m;in;Summer;19.8;Premier League;2018;2018/2019;https://sofifa.com/player/234574/jose-diogo-dalot-teixeira/190002;diogo-dalot
343;RB Leipzig;Konrad Laimer;20.0;Central Midfield;RB Salzburg;£6.30m;in;Summer;6.3;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/225375/konrad-laimer/180002;konrad-laimer
344;FC Porto;Zé Luís;28.0;Centre-Forward;Spartak Moscow;£9.68m;in;Summer;9.68;Liga Nos;2019;2019/2020;https://sofifa.com/player/203757/jose-luis-mendes-andrade/200002;zé-luís
345;Olympique Lyon;Sergi Darder;21.0;Central Midfield;Málaga CF;£11.79m;in;Summer;11.79;Ligue 1;2015;2015/2016;0;sergi-darder
346;Real Madrid;Álvaro Morata;23.0;Centre-Forward;Juventus;£27.00m;in;Summer;27.0;Primera Division;2016;2016/2017;0;álvaro-morata
347;RB Leipzig;Yvon Mvogo;23.0;Goalkeeper;BSC Young Boys;£4.50m;in;Summer;4.5;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/206003/yvon-mvogo/180002;yvon-mvogo
348;Borussia Dortmund;Donyell Malen;22.0;Centre-Forward;PSV Eindhoven;£27.00m;in;Summer;27.0;1 Bundesliga;2021;2021/2022;https://sofifa.com/player/231447/donyell-malen/220002;donyell-malen
349;Manchester United;Lee Grant;35.0;Goalkeeper;Stoke City;£1.53m;in;Summer;1.53;Premier League;2018;2018/2019;https://sofifa.com/player/53739/lee-grant/190002;lee-grant
350;Brighton & Hove Albion;Michal Karbownik;19.0;Right-Back;Legia Warszawa;£4.95m;in;Summer;4.95;Premier League;2020;2020/2021;https://sofifa.com/player/248149/michal-karbownik/210002;michal-karbownik
351;SCO Angers;Enzo Crivelli;22.0;Centre-Forward;G. Bordeaux;£3.60m;in;Summer;3.6;Ligue 1;2017;2017/2018;https://sofifa.com/player/221740/enzo-crivelli/180002;enzo-crivelli
352;Real Madrid;Danilo;23.0;Right-Back;FC Porto;£28.35m;in;Summer;28.35;Primera Division;2015;2015/2016;https://sofifa.com/player/199304/danilo-luiz-da-silva/160002;
353;Arsenal FC;Granit Xhaka;23.0;Defensive Midfield;Bor. M'gladbach;£40.50m;in;Summer;40.5;Premier League;2016;2016/2017;https://sofifa.com/player/199503/granit-xhaka/170002;granit-xhaka
354;Atlético de Madrid;João Félix;19.0;Second Striker;Benfica;£114.48m;in;Summer;114.48;Primera Division;2019;2019/2020;https://sofifa.com/player/242444/joao-felix-sequeira/200002;joão-félix
355;Stoke City;Tom Ince;26.0;Right Winger;Huddersfield;£10.08m;in;Summer;10.08;Championship;2018;2018/2019;https://sofifa.com/player/200521/tom-ince/190002;tom-ince
356;Borussia Dortmund;Gregor Kobel;23.0;Goalkeeper;VfB Stuttgart;£13.50m;in;Summer;13.5;1 Bundesliga;2021;2021/2022;https://sofifa.com/player/235073/gregor-kobel/220002;gregor-kobel
357;Brighton & Hove Albion;Andi Zeqiri;21.0;Centre-Forward;Lausanne-Sport;£3.60m;in;Summer;3.6;Premier League;2020;2020/2021;https://sofifa.com/player/234683/andi-zeqiri/210002;andi-zeqiri
358;Real Madrid;Eduardo Camavinga;18.0;Central Midfield;Stade Rennais;£27.90m;in;Summer;27.9;Primera Division;2021;2021/2022;https://sofifa.com/player/248243/eduardo-camavinga/220002;eduardo-camavinga
359;Arsenal FC;Shkodran Mustafi;24.0;Centre-Back;Valencia;£36.90m;in;Summer;36.9;Premier League;2016;2016/2017;https://sofifa.com/player/192227/shkodran-mustafi/170002;shkodran-mustafi
360;FC Porto;Mateus Uribe;28.0;Defensive Midfield;América;£8.55m;in;Summer;8.55;Liga Nos;2019;2019/2020;https://sofifa.com/player/214047/mateus-uribe/200002;mateus-uribe
361;Ajax Amsterdam;Maximilian Wöber;19.0;Centre-Back;Rapid Vienna;£7.29m;in;Summer;7.29;Eredivisie;2017;2017/2018;https://sofifa.com/player/231838/maximilian-wober/180002;maximilian-wöber
362;Olympique Lyon;Mapou Yanga-Mbiwa;26.0;Centre-Back;AS Roma;£8.46m;in;Summer;8.46;Ligue 1;2015;2015/2016;https://sofifa.com/player/181560/mapou-yanga-mbiwa/160002;mapou-yanga-mbiwa
363;Stoke City;Peter Etebo;22.0;Central Midfield;Feirense;£6.48m;in;Summer;6.48;Championship;2018;2018/2019;0;peter-etebo
364;VfL Wolfsburg;Francisco Rodríguez;19.0;Attacking Midfield;FC Zürich;£1.44m;in;Summer;1.44;1 Bundesliga;2015;2015/2016;0;francisco-rodríguez
365;Atlético de Madrid;Marcos Llorente;24.0;Central Midfield;Real Madrid;£27.00m;in;Summer;27.0;Primera Division;2019;2019/2020;https://sofifa.com/player/226161/marcos-llorente-moreno/200002;marcos-llorente
366;Bayer 04 Leverkusen;Aleksandar Dragovic;25.0;Centre-Back;Dynamo Kyiv;£18.90m;in;Summer;18.9;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/189060/aleksandar-dragovic/170002;aleksandar-dragovic
367;AS Monaco;Myron Boadu;20.0;Centre-Forward;AZ Alkmaar;£15.30m;in;Summer;15.3;Ligue 1;2021;2021/2022;https://sofifa.com/player/239956/myron-boadu/220002;myron-boadu
368;SCO Angers;Thomas Touré;23.0;Left Winger;G. Bordeaux;£2.70m;in;Summer;2.7;Ligue 1;2017;2017/2018;https://sofifa.com/player/222883/thomas-toure/180002;thomas-touré
369;TSG 1899 Hoffenheim;Kasim Adams;23.0;Centre-Back;BSC Young Boys;£7.20m;in;Summer;7.2;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/225673/kasim-adams-nuhu/190002;kasim-adams
370;Stoke City;Sam Clucas;27.0;Central Midfield;Swansea;£6.03m;in;Summer;6.03;Championship;2018;2018/2019;https://sofifa.com/player/193884/sam-clucas/190002;sam-clucas
371;Ajax Amsterdam;Luis Orejuela;21.0;Right-Back;Deportivo Cali;£3.29m;in;Summer;3.29;Eredivisie;2017;2017/2018;https://sofifa.com/player/222535/luis-orejuela/180002;luis-orejuela
372;Real Madrid;Kiko Casilla;28.0;Goalkeeper;Espanyol;£5.40m;in;Summer;5.4;Primera Division;2015;2015/2016;https://sofifa.com/player/177644/francisco-casilla-cortes/160002;kiko-casilla
373;FC Porto;Marchesín;31.0;Goalkeeper;América;£6.93m;in;Summer;6.93;Liga Nos;2019;2019/2020;https://sofifa.com/player/201095/agustin-marchesin/200002;
374;SL Benfica;Roman Yaremchuk;25.0;Centre-Forward;KAA Gent;£15.30m;in;Summer;15.3;Liga Nos;2021;2021/2022;https://sofifa.com/player/240702/roman-yaremchuk/220002;roman-yaremchuk
375;Brighton & Hove Albion;Jan Paul van Hecke;20.0;Centre-Back;NAC Breda;£1.80m;in;Summer;1.8;Premier League;2020;2020/2021;https://sofifa.com/player/258908/jan-paul-van-hecke/210002;jan-paul-van-hecke
376;Arsenal FC;Lucas Pérez;27.0;Centre-Forward;Dep. La Coruña;£18.00m;in;Summer;18.0;Premier League;2016;2016/2017;https://sofifa.com/player/199354/lucas-perez-martinez/170002;lucas-pérez
377;SCO Angers;Sada Thioub;24.0;Right Winger;Nîmes Olympique;£3.15m;in;Summer;3.15;Ligue 1;2019;2019/2020;https://sofifa.com/player/226861/sada-thioub/200002;sada-thioub
378;SCO Angers;Lassana Coulibaly;21.0;Central Midfield;SC Bastia;£1.80m;in;Summer;1.8;Ligue 1;2017;2017/2018;https://sofifa.com/player/230107/lassana-coulibaly/180002;lassana-coulibaly
379;SL Benfica;Soualiho Meïté;27.0;Defensive Midfield;Torino;£5.40m;in;Summer;5.4;Liga Nos;2021;2021/2022;https://sofifa.com/player/205391/soualiho-meite/220002;soualiho-meïté
380;Real Madrid;Jesús Vallejo;18.0;Centre-Back;Real Zaragoza;£4.50m;in;Summer;4.5;Primera Division;2015;2015/2016;https://sofifa.com/player/225161/jesus-vallejo-lazaro/160002;jesús-vallejo
381;Arsenal FC;Takuma Asano;21.0;Right Winger;Sanf. Hiroshima;£3.60m;in;Summer;3.6;Premier League;2016;2016/2017;https://sofifa.com/player/232610/takuma-asano/170002;takuma-asano
382;TSG 1899 Hoffenheim;Leonardo Bittencourt;24.0;Attacking Midfield;1. FC Köln;£5.40m;in;Summer;5.4;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/203106/leonardo-bittencourt/190002;leonardo-bittencourt
383;RB Leipzig;Lazar Samardzic;18.0;Attacking Midfield;Hertha BSC U19;£450Th.;in;Summer;0.45;1 Bundesliga;2020;2020/2021;https://sofifa.com/player/256115/lazar-samardzic/210002;lazar-samardzic
384;VfL Wolfsburg;Carlos Ascues;23.0;Central Midfield;FBC Melgar;£1.35m;in;Summer;1.35;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/212509/carlos-ascues/160002;carlos-ascues
385;Atlético de Madrid;Mario Hermoso;24.0;Centre-Back;Espanyol;£22.50m;in;Summer;22.5;Primera Division;2019;2019/2020;https://sofifa.com/player/229668/mario-hermoso-canseco/200002;mario-hermoso
386;SCO Angers;Baptiste Guillaume;22.0;Centre-Forward;LOSC Lille;£1.80m;in;Summer;1.8;Ligue 1;2017;2017/2018;https://sofifa.com/player/213839/baptiste-guillaume/180002;baptiste-guillaume
387;AS Monaco;Jean Lucas;23.0;Central Midfield;Olympique Lyon;£9.90m;in;Summer;9.9;Ligue 1;2021;2021/2022;https://sofifa.com/player/251217/jean-lucas-de-souza-oliveira/220002;jean-lucas
388;Bayer 04 Leverkusen;Kevin Volland;23.0;Centre-Forward;TSG Hoffenheim;£18.00m;in;Summer;18.0;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/200610/kevin-volland/170002;kevin-volland
389;Stoke City;James McClean;29.0;Left Midfield;West Brom;£5.04m;in;Summer;5.04;Championship;2018;2018/2019;https://sofifa.com/player/198489/james-mcclean/190002;james-mcclean
390;FC Porto;Mamadou Loum;22.0;Defensive Midfield;SC Braga;£6.75m;in;Summer;6.75;Liga Nos;2019;2019/2020;https://sofifa.com/player/245021/mamadou-loum/200002;mamadou-loum
391;AS Monaco;Ismail Jakobs;21.0;Left Midfield;1. FC Köln;£5.85m;in;Summer;5.85;Ligue 1;2021;2021/2022;https://sofifa.com/player/252293/ismail-jakobs/220002;ismail-jakobs
392;TSG 1899 Hoffenheim;Vincenzo Grifo;25.0;Left Winger;Bor. M'gladbach;£4.95m;in;Summer;4.95;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/212096/vincenzo-grifo/190002;vincenzo-grifo
393;Olympique Lyon;Claudio Beauvue;27.0;Centre-Forward;Guingamp;£5.40m;in;Summer;5.4;Ligue 1;2015;2015/2016;https://sofifa.com/player/183068/claudio-beauvue/160002;claudio-beauvue
394;Ajax Amsterdam;Antony;20.0;Right Winger;São Paulo;£14.18m;in;Summer;14.18;Eredivisie;2020;2020/2021;https://sofifa.com/player/255475/antony-matheus-dos-santos/210002;
395;Arsenal FC;Rob Holding;20.0;Centre-Back;Bolton;£2.70m;in;Summer;2.7;Premier League;2016;2016/2017;https://sofifa.com/player/228295/rob-holding/170002;rob-holding
396;Ajax Amsterdam;Siem de Jong;28.0;Attacking Midfield;Newcastle;£2.07m;in;Summer;2.07;Eredivisie;2017;2017/2018;https://sofifa.com/player/186452/siem-de-jong/180002;siem-de-jong
397;Bayer 04 Leverkusen;Julian Baumgartlinger;28.0;Defensive Midfield;1.FSV Mainz 05;£3.60m;in;Summer;3.6;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/189606/julian-baumgartlinger/170002;julian-baumgartlinger
398;Brighton & Hove Albion;Joël Veltman;28.0;Right-Back;Ajax;£900Th.;in;Summer;0.9;Premier League;2020;2020/2021;https://sofifa.com/player/208004/joel-veltman/210002;joël-veltman
399;SL Benfica;Gil Dias;24.0;Left-Back;Monaco;£1.35m;in;Summer;1.35;Liga Nos;2021;2021/2022;https://sofifa.com/player/229453/gil-bastiao-dias/220002;gil-dias
400;Ajax Amsterdam;Benjamin van Leer;25.0;Goalkeeper;Roda JC;£630Th.;in;Summer;0.63;Eredivisie;2017;2017/2018;https://sofifa.com/player/204367/benjamin-van-leer/180002;benjamin-van-leer
401;FC Porto;Luis Díaz;22.0;Left Midfield;Junior FC;£6.50m;in;Summer;6.5;Liga Nos;2019;2019/2020;https://sofifa.com/player/241283/luis-diaz-carballido/200002;luis-díaz
402;Olympique Lyon;Mathieu Valbuena;30.0;Attacking Midfield;Dinamo Moscow;£5.40m;in;Summer;5.4;Ligue 1;2015;2015/2016;https://sofifa.com/player/177326/mathieu-valbuena/160002;mathieu-valbuena
403;SCO Angers;Jeff Reine-Adélaïde;20.0;Attacking Midfield;Arsenal U23;£1.44m;in;Summer;1.44;Ligue 1;2018;2018/2019;https://sofifa.com/player/228509/jeff-reine-adelaide/190002;jeff-reine-adélaïde
404;Real Madrid;Marco Asensio;19.0;Right Winger;RCD Mallorca;£3.51m;in;Summer;3.51;Primera Division;2015;2015/2016;https://sofifa.com/player/220834/marco-asensio-willemsen/160002;marco-asensio
405;Ajax Amsterdam;Davy Klaassen;27.0;Attacking Midfield;Werder Bremen;£10.53m;in;Summer;10.53;Eredivisie;2020;2020/2021;https://sofifa.com/player/203483/davy-klaassen/210002;davy-klaassen
406;Bayer 04 Leverkusen;Jonas Meffert;21.0;Defensive Midfield;Karlsruher SC;£540Th.;in;Summer;0.54;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/212321/jonas-meffert/170002;jonas-meffert
407;SCO Angers;Angelo Fulgini;20.0;Central Midfield;Valenciennes FC;£1.26m;in;Summer;1.26;Ligue 1;2017;2017/2018;https://sofifa.com/player/226789/angelo-fulgini/180002;angelo-fulgini
408;Atlético de Madrid;Kieran Trippier;28.0;Right-Back;Spurs;£19.80m;in;Summer;19.8;Primera Division;2019;2019/2020;https://sofifa.com/player/186345/kieran-trippier/200002;kieran-trippier
409;TSG 1899 Hoffenheim;Ishak Belfodil;26.0;Centre-Forward;Standard Liège;£4.95m;in;Summer;4.95;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/194728/ishak-belfodil/190002;ishak-belfodil
410;Atlético de Madrid;Vitolo;27.0;Left Winger;Sevilla FC;£32.04m;in;Summer;32.04;Primera Division;2017;2017/2018;https://sofifa.com/player/199715/victor-machin-perez/180002;
411;Bayer 04 Leverkusen;Ramazan Özcan;32.0;Goalkeeper;FC Ingolstadt;£450Th.;in;Summer;0.45;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/152211/ramazan-ozcan/170002;ramazan-özcan
412;SCO Angers;Casimir Ninga;26.0;Left Winger;SM Caen;£2.70m;in;Summer;2.7;Ligue 1;2019;2019/2020;https://sofifa.com/player/231041/casimir-ninga/200002;casimir-ninga
413;TSG 1899 Hoffenheim;Joshua Brenet;24.0;Right-Back;PSV Eindhoven;£3.15m;in;Summer;3.15;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/209818/joshua-brenet/190002;joshua-brenet
414;Brighton & Hove Albion;Marc Cucurella;23.0;Left-Back;Getafe;£16.20m;in;Summer;16.2;Premier League;2021;2021/2022;https://sofifa.com/player/239231/marc-cucurella-saseta/220002;marc-cucurella
415;VfL Wolfsburg;Ismail Azzaoui;17.0;Right Winger;Tottenham U21;£900Th.;in;Summer;0.9;1 Bundesliga;2015;2015/2016;0;ismail-azzaoui
416;Ajax Amsterdam;Mohammed Kudus;19.0;Central Midfield;Nordsjaelland;£8.10m;in;Summer;8.1;Eredivisie;2020;2020/2021;https://sofifa.com/player/245155/mohammed-kudus/210002;mohammed-kudus
417;Bayer 04 Leverkusen;Danny da Costa;22.0;Right-Back;FC Ingolstadt;£450Th.;in;Summer;0.45;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/202429/danny-da-costa/170002;danny-da-costa
418;Ajax Amsterdam;Daley Blind;28.0;Left-Back;Man Utd;£14.40m;in;Summer;14.4;Eredivisie;2018;2018/2019;https://sofifa.com/player/190815/daley-blind/190002;daley-blind
419;Middlesbrough FC;Britt Assombalonga;24.0;Centre-Forward;Nottm Forest;£15.39m;in;Summer;15.39;Championship;2017;2017/2018;https://sofifa.com/player/203304/britt-assombalonga/180002;britt-assombalonga
420;Blackburn Rovers;Tayo Edun;23.0;Left-Back;Lincoln City;£522Th.;in;Summer;0.522;Championship;2021;2021/2022;https://sofifa.com/player/229378/tayo-edun/220002;tayo-edun
421;FC Porto;Saravia;26.0;Right-Back;Racing Club;£4.95m;in;Summer;4.95;Liga Nos;2019;2019/2020;https://sofifa.com/player/215256/renzo-saravia/200002;
422;Real Madrid;Lucas Vázquez;24.0;Right Winger;Espanyol;£900Th.;in;Summer;0.9;Primera Division;2015;2015/2016;https://sofifa.com/player/208618/lucas-vazquez-iglesias/160002;lucas-vázquez
423;Ajax Amsterdam;Sean Klaiber;26.0;Right-Back;FC Utrecht;£3.83m;in;Summer;3.83;Eredivisie;2020;2020/2021;https://sofifa.com/player/219814/sean-klaiber/210002;sean-klaiber
424;Norwich City;Alex Pritchard;23.0;Attacking Midfield;Spurs;£8.46m;in;Summer;8.46;Championship;2016;2016/2017;https://sofifa.com/player/205351/alex-pritchard/170002;alex-pritchard
425;Olympique Lyon;Rafael;25.0;Right-Back;Man Utd;£2.88m;in;Summer;2.88;Ligue 1;2015;2015/2016;https://sofifa.com/player/189681/rafael-pereira-da-silva/160002;
426;Benevento Calcio;Gianluca Lapadula;30.0;Centre-Forward;Genoa;£3.60m;in;Summer;3.6;Serie A;2020;2020/2021;https://sofifa.com/player/211302/gianluca-lapadula/210002;gianluca-lapadula
427;SCO Angers;Harrison Manzala;24.0;Right Winger;Amiens SC;£900Th.;in;Summer;0.9;Ligue 1;2018;2018/2019;https://sofifa.com/player/214949/harrison-manzala/190002;harrison-manzala
428;Feyenoord Rotterdam;Marcus Holmgren Pedersen;20.0;Right-Back;Molde;£900Th.;in;Summer;0.9;Eredivisie;2021;2021/2022;https://sofifa.com/player/243481/marcus-holmgren-pedersen/220002;marcus-holmgren-pedersen
429;Middlesbrough FC;Martin Braithwaite;26.0;Centre-Forward;Toulouse;£10.17m;in;Summer;10.17;Championship;2017;2017/2018;https://sofifa.com/player/193290/martin-braithwaite/180002;martin-braithwaite
430;SCO Angers;Mathias Pereira Lage;22.0;Left Midfield;Clermont Foot;£1.35m;in;Summer;1.35;Ligue 1;2019;2019/2020;https://sofifa.com/player/233061/mathias-pereira-lage/200002;mathias-pereira-lage
431;Benevento Calcio;Kamil Glik;32.0;Centre-Back;Monaco;£2.70m;in;Summer;2.7;Serie A;2020;2020/2021;https://sofifa.com/player/190547/kamil-glik/210002;kamil-glik
432;Norwich City;Nélson Oliveira;25.0;Centre-Forward;Benfica;£5.27m;in;Summer;5.27;Championship;2016;2016/2017;https://sofifa.com/player/189303/nelson-miguel-castro-oliveira/170002;nélson-oliveira
433;Ajax Amsterdam;Nemanja Gudelj;23.0;Defensive Midfield;AZ Alkmaar;£5.40m;in;Summer;5.4;Eredivisie;2015;2015/2016;https://sofifa.com/player/193198/nemanja-gudelj/160002;nemanja-gudelj
434;Brighton & Hove Albion;Enock Mwepu;23.0;Central Midfield;RB Salzburg;£11.70m;in;Summer;11.7;Premier League;2021;2021/2022;https://sofifa.com/player/243231/enock-mwepu/220002;enock-mwepu
435;Middlesbrough FC;Ashley Fletcher;21.0;Centre-Forward;West Ham;£6.57m;in;Summer;6.57;Championship;2017;2017/2018;https://sofifa.com/player/213699/ashley-fletcher/180002;ashley-fletcher
436;SCO Angers;Vincent Pajot;27.0;Defensive Midfield;Saint-Étienne;£900Th.;in;Summer;0.9;Ligue 1;2018;2018/2019;https://sofifa.com/player/198836/vincent-pajot/190002;vincent-pajot
437;Atlético de Madrid;Renan Lodi;21.0;Left-Back;Athletico-PR;£18.54m;in;Summer;18.54;Primera Division;2019;2019/2020;https://sofifa.com/player/251573/renan-augusto-lodi-dos-santos/200002;renan-lodi
438;Middlesbrough FC;Jonathan Howson;29.0;Central Midfield;Norwich;£5.09m;in;Summer;5.09;Championship;2017;2017/2018;https://sofifa.com/player/183422/jonny-howson/180002;jonathan-howson
439;Ajax Amsterdam;Dusan Tadic;29.0;Left Winger;Southampton;£12.33m;in;Summer;12.33;Eredivisie;2018;2018/2019;https://sofifa.com/player/199434/dusan-tadic/190002;dusan-tadic
440;FC Porto;Iván Marcano;32.0;Centre-Back;AS Roma;£2.77m;in;Summer;2.77;Liga Nos;2019;2019/2020;https://sofifa.com/player/173521/ivan-marcano-sierra/200002;iván-marcano
441;Feyenoord Rotterdam;Alireza Jahanbakhsh;27.0;Right Winger;Brighton;£900Th.;in;Summer;0.9;Eredivisie;2021;2021/2022;https://sofifa.com/player/215871/alireza-jahanbakhsh/220002;alireza-jahanbakhsh
442;Olympique Lyon;Lucas Tousart;18.0;Defensive Midfield;Valenciennes FC;£2.34m;in;Summer;2.34;Ligue 1;2015;2015/2016;0;lucas-tousart
443;Norwich City;Sergi Canós;19.0;Right Winger;Liverpool U23;£2.70m;in;Summer;2.7;Championship;2016;2016/2017;https://sofifa.com/player/224013/sergi-canos-tenes/170002;sergi-canós
444;Ajax Amsterdam;Arkadiusz Milik;21.0;Centre-Forward;Bay. Leverkusen;£2.52m;in;Summer;2.52;Eredivisie;2015;2015/2016;https://sofifa.com/player/205175/arkadiusz-milik/160002;arkadiusz-milik
445;Middlesbrough FC;Darren Randolph;30.0;Goalkeeper;West Ham;£5.04m;in;Summer;5.04;Championship;2017;2017/2018;https://sofifa.com/player/169697/darren-randolph/180002;darren-randolph
446;Brighton & Hove Albion;Abdallah Sima;20.0;Right Winger;Slavia Prague;£6.03m;in;Summer;6.03;Premier League;2021;2021/2022;https://sofifa.com/player/259816/abdallah-sima/220002;abdallah-sima
447;AS Monaco;Djibril Sidibé;23.0;Right-Back;LOSC Lille;£13.50m;in;Summer;13.5;Ligue 1;2016;2016/2017;https://sofifa.com/player/201042/djibril-sidibe/170002;djibril-sidibé
448;Atlético de Madrid;Álvaro Morata;27.0;Centre-Forward;Chelsea;£31.50m;in;Summer;31.5;Primera Division;2020;2020/2021;0;álvaro-morata
449;Atlético de Madrid;Felipe;30.0;Centre-Back;FC Porto;£18.00m;in;Summer;18.0;Primera Division;2019;2019/2020;https://sofifa.com/player/207863/felipe-augusto-de-almeida-monteiro/200002;
450;Atlético de Madrid;Yannick Carrasco;27.0;Left Winger;DL Pro;£24.30m;in;Summer;24.3;Primera Division;2020;2020/2021;https://sofifa.com/player/208418/yannick-carrasco/210002;yannick-carrasco
451;Brighton & Hove Albion;Kjell Scherpen;21.0;Goalkeeper;Ajax;£4.50m;in;Summer;4.5;Premier League;2021;2021/2022;https://sofifa.com/player/243675/kjell-scherpen/220002;kjell-scherpen
452;Middlesbrough FC;Ryan Shotton;28.0;Centre-Back;Birmingham;£2.88m;in;Summer;2.88;Championship;2017;2017/2018;https://sofifa.com/player/170039/ryan-shotton/180002;ryan-shotton
453;Olympique Lyon;Olivier Kemen;19.0;Central Midfield;Newcastle U21;£720Th.;in;Summer;0.72;Ligue 1;2015;2015/2016;0;olivier-kemen
454;CD Leganés;Youssef En-Nesyri;21.0;Centre-Forward;Málaga CF;£5.40m;in;Summer;5.4;Primera Division;2018;2018/2019;https://sofifa.com/player/235410/youssef-en-nesyri/190002;youssef-en-nesyri
455;SCO Angers;Antonin Bobichon;23.0;Central Midfield;Nîmes Olympique;£1.35m;in;Summer;1.35;Ligue 1;2019;2019/2020;https://sofifa.com/player/225855/antonin-bobichon/200002;antonin-bobichon
456;Feyenoord Rotterdam;Nicolai Jörgensen;25.0;Centre-Forward;FC Copenhagen;£3.15m;in;Summer;3.15;Eredivisie;2016;2016/2017;0;nicolai-jörgensen
457;Ajax Amsterdam;Amin Younes;21.0;Attacking Midfield;Bor. M'gladbach;£2.25m;in;Summer;2.25;Eredivisie;2015;2015/2016;https://sofifa.com/player/205966/amin-younes/160002;amin-younes
458;Feyenoord Rotterdam;Gernot Trauner;29.0;Centre-Back;LASK;£900Th.;in;Summer;0.9;Eredivisie;2021;2021/2022;https://sofifa.com/player/199813/gernot-trauner/220002;gernot-trauner
459;Liverpool FC;Sepp van den Berg;17.0;Centre-Back;PEC Zwolle;£1.71m;in;Summer;1.71;Premier League;2019;2019/2020;https://sofifa.com/player/242453/sepp-van-den-berg/200002;sepp-van-den-berg
460;Benevento Calcio;Artur Ionita;30.0;Central Midfield;Cagliari Calcio;£900Th.;in;Summer;0.9;Serie A;2020;2020/2021;https://sofifa.com/player/192587/artur-ionita/210002;artur-ionita
461;Middlesbrough FC;Cyrus Christie;24.0;Right-Back;Derby;£2.52m;in;Summer;2.52;Championship;2017;2017/2018;https://sofifa.com/player/200778/cyrus-christie/180002;cyrus-christie
462;AS Monaco;Benjamin Mendy;21.0;Left-Back;Marseille;£11.70m;in;Summer;11.7;Ligue 1;2016;2016/2017;https://sofifa.com/player/204884/benjamin-mendy/170002;benjamin-mendy
463;SCO Angers;Dorian Bertrand;25.0;Left Winger;SO Cholet;£720Th.;in;Summer;0.72;Ligue 1;2018;2018/2019;https://sofifa.com/player/244118/dorian-bertrand/190002;dorian-bertrand
464;Burnley FC;Andre Gray;24.0;Centre-Forward;Brentford;£11.16m;in;Summer;11.16;Championship;2015;2015/2016;https://sofifa.com/player/194138/andre-gray/160002;andre-gray
465;SCO Angers;Danijel Petkovic;26.0;Goalkeeper;FC Lorient;£810Th.;in;Summer;0.81;Ligue 1;2019;2019/2020;https://sofifa.com/player/240212/danijel-petkovic/200002;danijel-petkovic
466;Benevento Calcio;Daam Foulon;21.0;Left-Back;Waasl.-Beveren;£450Th.;in;Summer;0.45;Serie A;2020;2020/2021;https://sofifa.com/player/242003/daam-foulon/210002;daam-foulon
467;AS Monaco;Kamil Glik;28.0;Centre-Back;Torino;£9.90m;in;Summer;9.9;Ligue 1;2016;2016/2017;https://sofifa.com/player/190547/kamil-glik/170002;kamil-glik
468;Brighton & Hove Albion;Kaoru Mitoma;24.0;Left Winger;Kawasaki Front.;£2.70m;in;Summer;2.7;Premier League;2021;2021/2022;https://sofifa.com/player/255565/kaoru-mitoma/220002;kaoru-mitoma
469;Middlesbrough FC;Marvin Johnson;26.0;Left Midfield;Oxford United;£2.43m;in;Summer;2.43;Championship;2017;2017/2018;https://sofifa.com/player/227675/marvin-johnson/180002;marvin-johnson
470;Ajax Amsterdam;Hassane Bandé;19.0;Left Winger;KV Mechelen;£7.43m;in;Summer;7.43;Eredivisie;2018;2018/2019;https://sofifa.com/player/239718/hassane-bande/190002;hassane-bandé
471;Feyenoord Rotterdam;Fredrik Aursnes;25.0;Defensive Midfield;Molde;£405Th.;in;Summer;0.405;Eredivisie;2021;2021/2022;https://sofifa.com/player/231913/fredrik-aursnes/220002;fredrik-aursnes
472;Burnley FC;Jelle Vossen;26.0;Centre-Forward;KRC Genk;£2.84m;in;Summer;2.84;Championship;2015;2015/2016;0;jelle-vossen
473;Ajax Amsterdam;Zakaria Labyad;25.0;Attacking Midfield;FC Utrecht;£5.40m;in;Summer;5.4;Eredivisie;2018;2018/2019;https://sofifa.com/player/198640/zakaria-labyad/190002;zakaria-labyad
